STATION_NA,longitude,latitude,cluster_25,cluster_lat,cluster_long,num_stations
SAM KEE LRT STATION,103.9049154254705,1.40976508624174,24,1.409553981983252,103.9029634218909,10
SAMUDERA LRT STATION,103.902136534869,1.41588560878728,24,1.409553981983252,103.9029634218909,10
SOO TECK LRT STATION,103.897219246969,1.4051299121831051,24,1.409553981983252,103.9029634218909,10
SUMANG LRT STATION,103.898546402017,1.40842816642942,24,1.409553981983252,103.9029634218909,10
TECK LEE LRT STATION,103.90664615972,1.412902368913235,24,1.409553981983252,103.9029634218909,10
GREAT WORLD MRT STATION,103.83309156886833,1.2942962040916568,21,1.2965081344106832,103.82814400373448,8
HAVELOCK MRT STATION,103.8337339579354,1.288438446721142,21,1.2965081344106832,103.82814400373448,8
NAPIER MRT STATION,103.8194951994805,1.30664048364537,21,1.2965081344106832,103.82814400373448,8
ORCHARD BOULEVARD MRT STATION,103.823766755278,1.30304363883745,21,1.2965081344106832,103.82814400373448,8
ORCHARD MRT STATION,103.83185961720108,1.3037892216957394,21,1.2965081344106832,103.82814400373448,8
REDHILL MRT STATION,103.8171219158165,1.2894282900172498,21,1.2965081344106832,103.82814400373448,8
SOMERSET MRT STATION,103.83883951102648,1.3003680916322329,21,1.2965081344106832,103.82814400373448,8
TIONG BAHRU MRT STATION,103.8272435042695,1.2860606986446248,21,1.2965081344106832,103.82814400373448,8
GUL CIRCLE MRT STATION,103.659939544688,1.31893472485098,5,1.327662323632239,103.6464107579065,4
TUAS CRESCENT MRT STATION,103.649122765188,1.32100370675545,5,1.327662323632239,103.6464107579065,4
TUAS LINK MRT STATION,103.637043193748,1.34068348573686,5,1.327662323632239,103.6464107579065,4
TUAS WEST ROAD MRT STATION,103.639537528002,1.3300273771856652,5,1.327662323632239,103.6464107579065,4
HARBOURFRONT MRT STATION,103.82149962821534,1.2654106664124485,11,1.2770248244030509,103.80227804882652,6
HAW PAR VILLA MRT STATION,103.782006397072,1.28305527354176,11,1.2770248244030509,103.80227804882652,6
LABRADOR PARK MRT STATION,103.802355553663,1.27210695805434,11,1.2770248244030509,103.80227804882652,6
PASIR PANJANG MRT STATION,103.79203018692,1.27600323278505,11,1.2770248244030509,103.80227804882652,6
QUEENSTOWN MRT STATION,103.80589279616876,1.2948515894133077,11,1.2770248244030509,103.80227804882652,6
TELOK BLANGAH MRT STATION,103.80988373092,1.2707212262114,11,1.2770248244030509,103.80227804882652,6
PASIR RIS MRT STATION,103.949235183497,1.37286410271627,4,1.361107906178483,103.94943344507828,3
TAMPINES EAST MRT STATION,103.95528315107576,1.3561430882801475,4,1.361107906178483,103.94943344507828,3
TAMPINES MRT STATION,103.94378200066214,1.3543165275390314,4,1.361107906178483,103.94943344507828,3
