school_name,address,postal_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,latitude,longitude,cluster
CRESCENT GIRLS' SCHOOL,357 TANGLIN ROAD,247961,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,False,True,False,False,1.29331947077104,103.817544461755,4
CREST SECONDARY SCHOOL,561 JURONG EAST STREET 24,609561,SPECIALISED SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.3431198045076,103.742628105304,0
DAMAI PRIMARY SCHOOL,52 BEDOK RESERVOIR CRESCENT,479226,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.33524602829747,103.921286435321,6
DAMAI SECONDARY SCHOOL,4800 BEDOK RESERVOIR ROAD,479229,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.33692798510393,103.927091653438,6
DAZHONG PRIMARY SCHOOL,35 BUKIT BATOK STREET 31,659441,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.3591797447277,103.74847210784,0
DE LA SALLE SCHOOL,11 Choa Chu Kang St 52,689285,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.3947078296399,103.743201812831,5
DEYI SECONDARY SCHOOL,1 ANG MO KIO STREET 42,569277,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.36599702567717,103.852545772422,3
DUNEARN SECONDARY SCHOOL,21 BUKIT BATOK WEST AVENUE 2,659204,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.36357900792871,103.74472109107,5
DUNMAN HIGH SCHOOL,10 TANJONG RHU ROAD,436895,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVELS,True,True,True,True,1.29996216014962,103.88294155989,4
DUNMAN SECONDARY SCHOOL,21 TAMPINES STREET 45,529093,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,True,False,False,1.36065258337022,103.956213906966,6
EAST SPRING PRIMARY SCHOOL,31 TAMPINES ST 33,529258,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.35268400746357,103.961676849165,6
EAST SPRING SECONDARY SCHOOL,30 TAMPINES STREET 34,529231,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.35622508992581,103.960640700298,6
EDGEFIELD PRIMARY SCHOOL,41 EDGEFIELD PLAINS,828869,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.40009139510996,103.907847599114,1
EDGEFIELD SECONDARY SCHOOL,36 PUNGGOL FIELD,828814,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.40059309981824,103.902687385465,3
ELIAS PARK PRIMARY SCHOOL,11 PASIR RIS STREET 52,518866,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.37505696315817,103.945289416873,1
ENDEAVOUR PRIMARY SCHOOL,10 Admiralty Link,757521,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.45388170417263,103.817174701639,7
EUNOIA JUNIOR COLLEGE,2 Sin Ming Place,573838,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,False,False,False,True,1.36213757183547,103.841286169122,3
EVERGREEN PRIMARY SCHOOL,31 WOODLANDS CIRCLE,738908,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.44414835451585,103.794545295922,7
EVERGREEN SECONDARY SCHOOL,11 WOODLANDS STREET 83,738489,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.44149131273737,103.794137756171,7
FAIRFIELD METHODIST SCHOOL (PRIMARY),100 DOVER ROAD,139648,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.30100441916733,103.785455606827,4
FAIRFIELD METHODIST SCHOOL (SECONDARY),102 DOVER ROAD,139649,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,True,False,False,1.30163374395823,103.784099647149,4
FARRER PARK PRIMARY SCHOOL,2 FARRER PARK ROAD,217567,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.31236867681371,103.850766402965,4
FENGSHAN PRIMARY SCHOOL,307 BEDOK NORTH ROAD,469680,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.32980598760785,103.931710293058,6
FERN GREEN PRIMARY SCHOOL,70 Fernvale Link,797538,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.39726966050479,103.880330305684,1
FERNVALE PRIMARY SCHOOL,1 Fernvale Lane,797701,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.39030227963797,103.874445458032,1
FIRST TOA PAYOH PRIMARY SCHOOL,7 LORONG 8 TOA PAYOH,319252,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.34032299499938,103.855529906182,2
FRONTIER PRIMARY SCHOOL,20 Jurong West Street 61,648200,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.33641298743234,103.69970173931,0
FUCHUN PRIMARY SCHOOL,23 WOODLANDS AVENUE 1,739063,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.43047990810126,103.778192944298,7
FUHUA PRIMARY SCHOOL,65 JURONG EAST STREET 13,609647,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.33659726465816,103.736089481883,0
FUHUA SECONDARY SCHOOL,5 JURONG WEST STREET 41,649410,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.34701408913756,103.72652089832,0
GAN ENG SENG PRIMARY SCHOOL,100 REDHILL CLOSE,158901,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.28559516494962,103.815547410064,4
GAN ENG SENG SCHOOL,1 HENDERSON ROAD,159561,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.28907114485773,103.823733673089,4
GEYLANG METHODIST SCHOOL (PRIMARY),4 Geylang East Central,389706,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.31814416827374,103.883628501601,2
GEYLANG METHODIST SCHOOL (SECONDARY),2 GEYLANG EAST CENTRAL,389705,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.31764900474601,103.882661129303,2
GONGSHANG PRIMARY SCHOOL,1 TAMPINES STREET 42,529176,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.35711606790292,103.949144797277,6
GREENDALE PRIMARY SCHOOL,50 Edgedale Plains,828848,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.39648195114256,103.91233462071,1
GREENDALE SECONDARY SCHOOL,51 EDGEDALE PLAINS,828866,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.39696019936894,103.91170014084,3
GREENRIDGE PRIMARY SCHOOL,11 JELAPANG ROAD,677744,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.3858892193692,103.767794469258,5
GREENRIDGE SECONDARY SCHOOL,32 BUKIT PANJANG RING ROAD,679938,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.38186433722811,103.773828466913,5
GREENWOOD PRIMARY SCHOOL,11 WOODLANDS DR 62,737942,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.43989958331782,103.804725587384,7
GUANGYANG SECONDARY SCHOOL,8 BISHAN STREET 12,579807,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.34440856042912,103.850208933626,3
HAI SING CATHOLIC SCHOOL,9 PASIR RIS DRIVE 6,519421,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.3743371707478,103.954544548905,6
HAIG GIRLS' SCHOOL,51 Koon Seng Road,427072,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.31194344271383,103.902902557195,2
HENRY PARK PRIMARY SCHOOL,1 HOLLAND GROVE ROAD,278790,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,True,False,1.31667646178347,103.784296227747,4
HILLGROVE SECONDARY SCHOOL,10 BUKIT BATOK STREET 52,659250,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.35273576615912,103.752986488399,0
HOLY INNOCENTS' HIGH SCHOOL,1191 UPPER SERANGOON ROAD,534786,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.37154508822261,103.896398814264,3
HOLY INNOCENTS' PRIMARY SCHOOL,5 Lorong Low Koon,536451,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,True,False,False,False,1.36693830877349,103.894114899795,2
